finding_id,reported_date,equipment_id,equipment_type,inspection_type,inspection_method,finding_description,reported_by,reporter_role
F-1001,2026-06-02,K-3401,Centrifugal Compressor,Condition Monitoring,Vibration Analysis,"Overall vibration on the non-drive end bearing has climbed from 2.1 mm/s to 4.6 mm/s over the last six weeks. Spectrum shows a growing 1x component with some sidebands. Not at alarm yet but the trend is clearly upward and it has not plateaued.",A. Rasmussen,Rotating Equipment Technician
F-1002,2026-06-03,PSV-1310,Pressure Safety Valve,Routine Operator Round,Visual / Audible,"Faint hissing from the PSV outlet tailpipe. You can hear it when the deck is quiet. Cannot see any liquid but there is a light hydrocarbon smell nearby. Set pressure is well above current operating pressure so it should not be lifting.",M. Delacroix,Production Operator
F-1003,2026-06-03,FW-8102,Firewater Pump,Function Test,Weekly Test Start,"Pump failed to start on the first attempt during the weekly test. Started on the second attempt after about eight seconds of cranking. Starting batteries measured 22.8 V at rest which is on the low side. Ran normally once started and achieved rated discharge pressure.",S. Whitfield,Mechanical Technician
F-1004,2026-06-04,PL-1002,Piping,Corrosion Survey,Insulation Removal + UT,"Removed cladding at three inspection windows on the 6 inch flowline. At window 2 near the low point drain the insulation was saturated and there is heavy scaling on the pipe surface. UT readings at that location give 6.2 mm against a nominal 11.1 mm and a minimum allowable of 7.4 mm. Adjacent windows are within tolerance.",H. Lindqvist,Corrosion Engineer
F-1005,2026-06-05,FG-0455,Gas Detector,Function Test,Bump Test with Span Gas,"Detector head did not respond to 50 percent LEL test gas. Repeated with a second cylinder, still no response. Head appears clean, no obvious damage to the optics. The other two heads in the same voted group responded correctly.",T. Nakamura,Instrument Technician
F-1006,2026-06-05,CR-5001,Pedestal Crane,Statutory Inspection,Third Party Survey,"Annual lifting appliance survey. Main hoist wire rope shows 6 broken wires within one lay length in the section that spools onto the drum at maximum boom radius. Discard criterion for this rope construction is 10 broken wires per lay length. Rope lubrication is poor along the same section. Hook, sheaves and structure all satisfactory.",D. Ferreira,Third Party Lifting Inspector
F-1007,2026-06-06,P-3305,Reciprocating Pump,Routine Operator Round,Visual,"Corrosion inhibitor pump has tripped again on low discharge pressure. This is the third time this month. Suspect the diaphragm. Injection to the wellhead manifold has been intermittent for around ten days according to the injection log.",R. Mbeki,Production Operator
F-1008,2026-06-07,SC-1001,Structure,Structural Survey,Close Visual + MPI,"Crack indication found at the toe of the weld connecting a primary brace to the cellar deck node at grid B4. Confirmed by MPI, length approximately 45 mm. This is a primary structural connection. Surrounding coating is intact so this is not a general fabric issue.",L. Andersen,Structural Engineer
F-1009,2026-06-08,SC-1001,Structure,Routine Operator Round,Visual,"General coating breakdown across the underside of the cellar deck plating between grids C2 and C5. Rust staining and flaking primer over a large area. This has been reported before and is on the fabric maintenance backlog.",J. Okoye,Production Operator
F-1010,2026-06-08,HVAC-7201,HVAC Unit,Function Test,Differential Pressure Test,"Temporary refuge pressurisation test carried out. Measured differential pressure across the accommodation envelope was 27 Pa against a required minimum of 50 Pa. Fan is running at rated speed. Suspect either a damper not fully closing or degraded door seals somewhere in the envelope.",S. Whitfield,Mechanical Technician
F-1011,2026-06-10,DEL-8300,Deluge System,Function Test,Full Flow Test,"Annual deluge flow test on the wellhead area ringmain. Approximately 12 of the 60 nozzles in the north quadrant delivered either no flow or a badly distorted spray pattern. Skid pressure and flow at the header were normal, so the blockage is downstream in the branch pipework. The affected quadrant sits directly above two producing wellheads.",S. Whitfield,Mechanical Technician
F-1012,2026-06-11,LB-4102,Lifeboat,Statutory Inspection,Class Survey,"Hydraulic release mechanism on the freefall lifeboat did not operate cleanly during the annual survey. Required significantly more force than specification and the movement was notchy. Surveyor has withheld the certificate pending overhaul of the release gear. Lifeboat is currently declared unavailable.",D. Ferreira,Third Party Marine Surveyor
F-1013,2026-06-11,INST-2150,Level Transmitter,Condition Monitoring,Data Review,"Interface level transmitter is reading approximately 12 percent higher than the backup transmitter and around 15 percent higher than the sight glass. Divergence has been growing steadily over about three weeks. Control is currently on this transmitter.",T. Nakamura,Instrument Technician
F-1014,2026-06-12,V-1305,Pressure Vessel,Shutdown Inspection,Internal Visual,"Test separator internals inspected. Inlet deflector plate is partly detached, one of the four support brackets has corroded through. Vessel shell and heads in good condition. Test separator is not currently in service.",H. Lindqvist,Corrosion Engineer
F-1015,2026-06-16,V-2450,Pressure Vessel,Routine Operator Round,Visual,"Level gauge glass on the fuel gas scrubber is dirty and hard to read. Level control appears to be working normally on the transmitter. No liquid carryover indications downstream.",M. Delacroix,Production Operator
F-1016,2026-06-16,PSV-3420,Pressure Safety Valve,Routine Operator Round,Visual,"Certification tag on the compressor discharge PSV is illegible, the label has corroded. Checked the register and the valve was recertified in March 2025 so it is in date. Physical condition of the valve looks fine.",R. Mbeki,Production Operator
F-1017,2026-06-17,FW-8101,Firewater Pump,Function Test,Weekly Test Start,"Firewater pump A started first time and ran up correctly but discharge pressure stabilised at 9.2 barg against a design of 11 barg. Flow was not measured. Engine parameters all normal. Suspect either pump internal wear or a partly closed valve somewhere in the test line.",S. Whitfield,Mechanical Technician
F-1018,2026-06-18,INST-2151,Level Transmitter,Condition Monitoring,Data Review,"Backup interface level transmitter has been reading a flat line for approximately 36 hours. The value has not moved at all which is not credible for this service. Suspect a blocked impulse line or a failed sensor.",T. Nakamura,Instrument Technician
F-1019,2026-06-19,K-3401,Centrifugal Compressor,Routine Operator Round,Visual,"Lagging on the second stage discharge line has come loose and a section of cladding is flapping in the wind. No process concern but it will end up as a dropped object if left.",M. Delacroix,Production Operator
