equipment_id,equipment_type,service_description,criticality_score,reliability_score,safety_critical_element,redundancy,engineer_comment
K-3401,Centrifugal Compressor,Main gas export compressor train,10,7,No,None,"Single train, no spare, no workaround. If it trips the platform goes to recycle and production is cut within the hour. Vibration is trended daily and anything unusual gets a rotating equipment specialist the same day."
P-3305,Reciprocating Pump,Chemical injection - corrosion inhibitor,7,4,No,None,"Fussy little unit, diaphragm failures every few months. Losing it does not stop production so it gets deprioritised, but inhibitor starvation means the downstream carbon steel starts corroding within weeks. The consequence lands six months later on someone else's desk."
V-1201,Pressure Vessel,First stage production separator,9,8,Yes,None,"Thick walled and historically trouble free, but it is the pressure boundary for the entire first stage. Any indication of wall loss, cracking or weeping goes to the integrity engineer regardless of how small it looks."
V-1305,Pressure Vessel,Test separator,4,8,No,Yes (bypass available),"Only used during well testing. Can be isolated and bypassed indefinitely with no production impact. Findings here can usually wait for the next planned shutdown."
V-2450,Pressure Vessel,Fuel gas scrubber,7,7,No,None,"Protects the turbines from liquid carryover. Not glamorous, but a liquid slug into a gas turbine is an expensive afternoon."
PSV-1310,Pressure Safety Valve,Overpressure protection for V-1201,9,7,Yes,None,"Certified relief device on a two year pop test cycle. Any evidence of passing or weeping is treated as an impairment of a protection layer, not as a maintenance nuisance. There is a regulatory clock on impaired relief devices."
PSV-3420,Pressure Safety Valve,Overpressure protection for compressor discharge,9,8,Yes,None,"Same regime as PSV-1310. Recently recertified and behaving itself."
FG-0455,Gas Detector,Point IR hydrocarbon gas detector - compression module,9,6,Yes,Voted 2oo3,"Detectors in this module drift with salt and humidity. Calibration slippage is common and mostly benign; a head that fails to respond to test gas is not benign."
INST-2150,Level Transmitter,Interface level transmitter on V-1201 - duty,7,6,No,Duplicated (INST-2151),"Drifts. Feeds both control and the high level alarm. Operators generally know when it is lying to them, but relying on operator intuition is not a control measure we are allowed to write down."
INST-2151,Level Transmitter,Interface level transmitter on V-1201 - backup,6,7,No,Duplicated (INST-2150),"Installed as the second leg after a near miss in 2021. Keeping both legs healthy is the whole point of the arrangement."
FW-8101,Firewater Pump,Diesel driven firewater pump A,10,7,Yes,N+1 (FW-8102),"One of two diesel firewater pumps, weekly test run. Failure to start on demand is the scenario the whole fire protection philosophy is built to avoid. Both pumps unavailable at once means production shutdown."
FW-8102,Firewater Pump,Diesel driven firewater pump B,10,6,Yes,N+1 (FW-8101),"The older of the two. Battery and starting air problems recur. Historically the first one to fail a test start."
DEL-8300,Deluge System,Deluge skid and ringmain - wellhead area,10,6,Yes,None,"Nozzle blockage from marine growth and scale is the recurring issue. Partial blockage reduces coverage over a specific area; the system looks healthy from the skid but is not delivering where it matters."
LB-4102,Lifeboat,Freefall lifeboat - port station,10,8,Yes,N+1 (LB-4101),"Certified survival craft under class survey. Any defect that could prevent launch reduces the total evacuation capacity of the installation, which is compared against the POB count. That comparison is not negotiable."
CR-5001,Pedestal Crane,Main deck pedestal crane,7,5,No,None,"Lifting appliance under a separate certification regime; wire rope and hook inspections are governed by the lifting standard. Out of service means no supply boat offloads, which becomes a logistics problem within days."
HVAC-7201,HVAC Unit,Temporary refuge pressurisation unit,9,6,Yes,None,"Keeps the temporary refuge at positive pressure during a gas release so that people mustering there are not breathing hydrocarbons. Easy to dismiss as building services. It is not building services."
SC-1001,Structure,Cellar deck primary support steelwork,9,9,Yes,None,"Fabric maintenance here is chronically behind, so coating breakdown reports are frequent and mostly cosmetic. Section loss at a node or a cracked weld at a primary connection is a completely different severity and should never be batched with the coating backlog."
PL-1002,Piping,6 inch production flowline - manifold to V-1201,8,7,No,None,"Live hydrocarbon line at full wellhead pressure. Corrosion under insulation is the known threat here and it is invisible until the cladding comes off."
